Poem Name,Poet,Line,Metaphor present or not,Count of the metaphor,Metaphorical terms,Book,Year
සැදෑ අදුර,ජී බී දිසානායත,ඈ සෙමෙන් ,no,0,unknown,පලිගැනීම,1964
සැදෑ අදුර,ජී බී දිසානායත,හිසොසවා,no,0,unknown,පලිගැනීම,1964
සැදෑ අදුර,ජී බී දිසානායත,තම නිල්මිණි නුවන්,yes,1,තම නිල්මිණි නුවන්,පලිගැනීම,1964
සැදෑ අදුර,ජී බී දිසානායත,මා නෙත් මත රැද වූ විට,no,0,unknown,පලිගැනීම,1964
සැදෑ අදුර,ජී බී දිසානායත,ඒ දෙනෙතහි,no,0,unknown,පලිගැනීම,1964
සැදෑ අදුර,ජී බී දිසානායත,මා දුටු කිම?,no,0,unknown,පලිගැනීම,1964
සැදෑ අදුර,ජී බී දිසානායත,නොඅසන්න,no,0,unknown,පලිගැනීම,1964
වක්කඩ බදිමු,ගුණදාස අමරසේකර,ගැබ් ගැනිලා කිරි එරිලා මහ පොලොවට සැනහෙන්නට,yes,1,ගැබ් ගැනිලා කිරි එරිලා,භාවගීත,1955
වක්කඩ බදිමු,ගුණදාස අමරසේකර,වැස්ස වැහැපන් දෙවියනි විලි වැදිලා උපදින්නට,yes,1,විලි වැදිලා උපදින්නට,භාවගීත,1955
කතරගම,ගුණදාස අමරසේකර,සිය දහස් පන්දමින් ගිනි නගයි විහිද යයි බෙර ,no,0,unknown,උයනක හිද ලියූ කවි,1957
කතරගම,ගුණදාස අමරසේකර,දවුල් හඬ අසා ඇඟෙති මස වියරු වෙයි,no,0,unknown,උයනක හිද ලියූ කවි,1957
කතරගම,ගුණදාස අමරසේකර,සිය දහස් ගිගිරි හඬ කන් පලා ඇතුළු වෙයි,yes,1,කන් පලා ඇතුළු වෙයි,උයනක හිද ලියූ කවි,1957
කතරගම,ගුණදාස අමරසේකර,මුළු සිරුර ලේ නහර කිළි පොලා නැග සිටියි,yes,1,කිළි පොලා නැග සිටියි,උයනක හිද ලියූ කවි,1957
හොල්මන් කුද්දන අදුර,ගුණදාස අමරසේකර,වසා ගෙවල පියසි මුදුන් සැඳෑ අඳුර පැතිරෙන්නේ,no,0,unknown,අමල් බිසෝ,1961
හොල්මන් කුද්දන අදුර,ගුණදාස අමරසේකර,වසා සිටිය දුහුල ඉරි බිත මුණු මතු වන්නේ,yes,1,වසා සිටිය දුහුල ඉරි,අමල් බිසෝ,1961
හොල්මන් කුද්දන අදුර,ගුණදාස අමරසේකර,වසා දැමූ මගේ සිතෙහි පාළු ජනෙල් අරිමින්නේ,no,0,unknown,අමල් බිසෝ,1961
හොල්මන් කුද්දන අදුර,ගුණදාස අමරසේකර,නිදා සිටිය බූත යකුන් පණ පෙවෙමින් නැගිටින්නේ,no,0,unknown,අමල් බිසෝ,1961
බුදුන් දැකීම,සිරි ගුනසිංහ,කුහක කමේ මහ ගන්දස්කාරෙන්,yes,1,කුහක කමේ මහ ගන්දස්කාරෙන්,අබිනික්මන,1958
බුදුන් දැකීම,සිරි ගුනසිංහ,තෙත බරි වුන ඔය සාදුකාරයට,no,0,unknown,අබිනික්මන,1958
බුදුන් දැකීම,සිරි ගුනසිංහ,බුදු පිලිමෙන් නොලැබේ කරුනාවක්,no,0,unknown,අබිනික්මන,1958
බුදුන් දැකීම,සිරි ගුනසිංහ,ගෝනි ගනන් මල් අල්ලස් කෙරුවත්,no,0,unknown,අබිනික්මන,1958
බුදුන් දැකීම,සිරි ගුනසිංහ,එය,no,0,unknown,අබිනික්මන,1958
බුදුන් දැකීම,සිරි ගුනසිංහ,කරුණාවෙන් බර දෑසට නොපෙනේ,no,0,unknown,අබිනික්මන,1958
බුදුන් දැකීම,සිරි ගුනසිංහ,සිල් සුදු රෙද්දෙන් සිරුර වැසුව මුත්,no,0,unknown,අබිනික්මන,1958
බුදුන් දැකීම,සිරි ගුනසිංහ,පලුදු පෙනේ හැම කලු පාටින්,no,0,unknown,අබිනික්මන,1958
බුදුන් දැකීම,සිරි ගුනසිංහ,සර්දාවෙන් ගොඩ නැංවුනු බ්ත්තියෙ,yes,0,සර්දාවෙන් ගොඩ නැංවුනු බ්ත්තියෙ,අබිනික්මන,1958
බුදුන් දැකීම,සිරි ගුනසිංහ,හීන් සිදුරකින් බිදුනු තැනක ඇති,no,0,unknown,අබිනික්මන,1958
බුදුන් දැකීම,සිරි ගුනසිංහ,එලියක් ගිලිහේ බුදුන්ගෙ මුහුනින්,no,0,unknown,අබිනික්මන,1958
බුදුන් දැකීම,සිරි ගුනසිංහ,බුදුන් මුහුන මට හොදින් පෙනේ,no,0,unknown,අබිනික්මන,1958
වාදිකා,සිරි ගුනසිංහ,කුලුඳුල් දරු මුව සිඹින්න,no,0,unknown,අබිනික්මන,1958
වාදිකා,සිරි ගුනසිංහ,තුරුලට ගත් මවක් වගේ.,no,0,unknown,අබිනික්මන,1958
වාදිකා,සිරි ගුනසිංහ,ආදරයෙන් කරපින්නා ගෙන,no,0,unknown,අබිනික්මන,1958
